2025-04-25 21:47:10.361 +07 | INFO     | Line   76 (video_processor.py): Downloaded to /home/dattruong/Desktop/Job/Technical-Test/Eklipse/video_chatbot_je_7fli2/12377b9f-fe5d-45ea-9305-84c11b9293d9.mp4
2025-04-25 21:47:50.695 +07 | ERROR    | Line  108 (streamlit_app.py): [App Error] 'NoneType' object is not subscriptable
2025-04-25 21:55:33.762 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 21:55:45.594 +07 | INFO     | Line   56 (video_processor.py): 📥 Downloading YouTube video: https://www.youtube.com/watch?v=9RhWXPcKBI8
2025-04-25 21:55:45.595 +07 | INFO     | Line   70 (video_processor.py): Using cookies.txt for authentication
2025-04-25 21:55:48.659 +07 | ERROR    | Line   80 (video_processor.py): Download failed: [0;31mERROR:[0m [youtube] 9RhWXPcKBI8: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
2025-04-25 21:55:48.661 +07 | ERROR    | Line  108 (streamlit_app.py): [App Error] [0;31mERROR:[0m [youtube] 9RhWXPcKBI8: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
2025-04-25 21:58:04.564 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 21:58:16.722 +07 | INFO     | Line   56 (video_processor.py): 📥 Downloading YouTube video: https://www.youtube.com/watch?v=9RhWXPcKBI8
2025-04-25 21:58:16.724 +07 | INFO     | Line   70 (video_processor.py): Using cookies.txt for authentication
2025-04-25 21:59:16.573 +07 | INFO     | Line   76 (video_processor.py): Downloaded to /home/dattruong/Desktop/Job/Technical-Test/Eklipse/video_chatbot_tol0xya0/6bfa1a65-076b-43bb-8bae-2d9ae81568e0.mp4
2025-04-25 22:04:16.306 +07 | ERROR    | Line  108 (streamlit_app.py): [App Error] 'NoneType' object is not subscriptable
2025-04-25 22:11:23.962 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 22:11:36.140 +07 | INFO     | Line   56 (video_processor.py): Downloading YouTube video: https://www.youtube.com/watch?v=9RhWXPcKBI8
2025-04-25 22:12:21.865 +07 | INFO     | Line   70 (video_processor.py): Downloaded to /home/dattruong/Desktop/Job/Technical-Test/Eklipse/video_chatbot_qas_bxja/82fc0f8f-0f8e-4713-b5db-d6431a370897.mp4
2025-04-25 22:12:30.050 +07 | ERROR    | Line  108 (streamlit_app.py): [App Error] tuple index out of range
2025-04-25 22:18:51.372 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 22:19:05.743 +07 | INFO     | Line   88 (video_processor.py): Keyframe extracting....
2025-04-25 22:19:05.744 +07 | INFO     | Line   56 (video_processor.py): Downloading YouTube video: https://www.youtube.com/watch?v=9RhWXPcKBI8
2025-04-25 22:19:54.486 +07 | INFO     | Line   70 (video_processor.py): Downloaded to /home/dattruong/Desktop/Job/Technical-Test/Eklipse/video_chatbot_lxi_df2u/0dd6e573-ef40-4e6f-8860-a39e3a0bcde1.mp4
2025-04-25 22:20:01.933 +07 | ERROR    | Line  108 (streamlit_app.py): [App Error] tuple index out of range
2025-04-25 22:21:05.599 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 22:21:18.813 +07 | INFO     | Line   88 (video_processor.py): Keyframe extracting....
2025-04-25 22:21:18.814 +07 | INFO     | Line   56 (video_processor.py): Downloading YouTube video: https://www.youtube.com/watch?v=9RhWXPcKBI8
2025-04-25 22:22:05.026 +07 | INFO     | Line   70 (video_processor.py): Downloaded to /home/dattruong/Desktop/Job/Technical-Test/Eklipse/video_chatbot_9qkhznov/e5b69cf4-4431-4592-a900-8b3e49cb49eb.mp4
2025-04-25 22:22:05.026 +07 | INFO     | Line   98 (video_processor.py): Interval method extracting....
2025-04-25 22:22:14.594 +07 | ERROR    | Line  108 (streamlit_app.py): [App Error] tuple index out of range
2025-04-25 22:24:38.383 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 22:24:51.436 +07 | INFO     | Line   88 (video_processor.py): Keyframe extracting....
2025-04-25 22:24:51.437 +07 | INFO     | Line   56 (video_processor.py): Downloading YouTube video: https://www.youtube.com/watch?v=9RhWXPcKBI8
2025-04-25 22:25:37.210 +07 | INFO     | Line   70 (video_processor.py): Downloaded to /home/dattruong/Desktop/Job/Technical-Test/Eklipse/video_chatbot_p2ayo8eb/9a5ecba1-aaba-4ed5-814b-b45e99cb579b.mp4
2025-04-25 22:25:37.211 +07 | INFO     | Line   96 (video_processor.py): Use Interval method
2025-04-25 22:25:37.212 +07 | INFO     | Line  101 (video_processor.py): Interval method extracting....
2025-04-25 22:25:37.214 +07 | INFO     | Line  123 (video_processor.py): extracted
2025-04-25 22:25:45.079 +07 | ERROR    | Line  108 (streamlit_app.py): [App Error] tuple index out of range
2025-04-25 22:29:02.947 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 22:29:15.073 +07 | INFO     | Line   88 (video_processor.py): Keyframe extracting....
2025-04-25 22:29:15.075 +07 | INFO     | Line   56 (video_processor.py): Downloading YouTube video: https://www.youtube.com/watch?v=9RhWXPcKBI8
